order_num,status,quarter_id,month_id,year_id,product_code,contact_fname,contact_lname
10000,Shipped,1,2,2003,S10_1678,Kwai,Yu
10001,Shipped,2,5,2003,S10_1678,Paul,Henriot
10002,Shipped,3,7,2003,S10_1678,Daniel,Da Cunha
10003,Shipped,3,8,2003,S10_1678,Julie,Young
10004,Shipped,4,10,2003,S10_1678,Julie,Brown
10005,Shipped,4,10,2003,S10_1678,Juri,Hirano
10006,Shipped,4,11,2003,S10_1678,Martine,Rance
10007,Shipped,4,11,2003,S10_1678,Veysel,Oeztan
10008,Shipped,4,12,2003,S10_1678,Julie,Murphy
10009,Shipped,1,1,2004,S10_1678,Dominique,Perrier
10010,Shipped,1,2,2004,S10_1678,Peter,Ferguson
10011,Shipped,2,4,2004,S10_1678,Michael,Frick
10012,Shipped,2,5,2004,S10_1678,William,Brown
10013,Shipped,2,6,2004,S10_1678,Julie,King
10014,Shipped,3,7,2004,S10_1678,Janine,Labrune
10015,Shipped,3,8,2004,S10_1678,Marta,Hernandez
10016,Shipped,3,9,2004,S10_1678,Matti,Karttunen
10017,Shipped,4,10,2004,S10_1678,Jonas,Bergulfsen
10018,Shipped,4,11,2004,S10_1678,Kyung,Yu
10019,Shipped,4,11,2004,S10_1678,Kwai,Yu
10020,Shipped,4,11,2004,S10_1678,Georg,Pipps
10021,Shipped,4,12,2004,S10_1678,Adrian,Huxley
10022,Shipped,1,2,2005,S10_1678,Janine,Labrune
10023,Shipped,1,3,2005,S10_1678,Violeta,Benitez
10024,Shipped,2,4,2005,S10_1678,Elizabeth,Devon
10025,Disputed,2,5,2005,S10_1678,Diego,Freyre
10026,Shipped,1,1,2003,S10_1949,Jonas,Bergulfsen
10027,Shipped,1,3,2003,S10_1949,Christina,Berglund
10028,Shipped,2,5,2003,S10_1949,Mart¡n,Sommer
10029,Shipped,3,7,2003,S10_1949,Juri,Hirano
10030,Shipped,3,9,2003,S10_1949,Eric,Natividad
10031,Shipped,4,10,2003,S10_1949,Maria,Hernandez
10032,Shipped,4,11,2003,S10_1949,Tony,Calaghan
10033,Shipped,4,11,2003,S10_1949,Francisca,Cervantes
10034,Shipped,4,11,2003,S10_1949,Mary,Saveley
10035,Shipped,4,12,2003,S10_1949,Yoshi,Tannamuri
10036,Shipped,1,1,2004,S10_1949,Steve,Thompson
10037,Shipped,1,3,2004,S10_1949,Kyung,Tseng
10038,Shipped,2,5,2004,S10_1949,Leslie,Murphy
10039,Shipped,2,6,2004,S10_1949,Akiko,Shimamura
10040,Shipped,3,7,2004,S10_1949,Adrian,Huxley
10041,Shipped,3,8,2004,S10_1949,Paolo,Accorti
10042,Shipped,3,9,2004,S10_1949,Maria,Larsson
10043,Shipped,4,10,2004,S10_1949,Daniel,Tonini
10044,Shipped,4,10,2004,S10_1949,Valarie,Nelson
10045,Shipped,4,11,2004,S10_1949,Valarie,Young
10046,Shipped,4,11,2004,S10_1949,Julie,Murphy
10047,Shipped,4,11,2004,S10_1949,Peter,Ferguson
10048,Shipped,4,12,2004,S10_1949,Valarie,Nelson
10049,Shipped,1,1,2005,S10_1949,Allen,Nelson
10050,Shipped,1,2,2005,S10_1949,Julie,Brown
10051,Shipped,1,3,2005,S10_1949,Anna,O'Hara
10052,Shipped,2,5,2005,S10_1949,Jean,Fresnisre
10053,In Process,2,5,2005,S10_1949,Diego,Freyre
10054,Shipped,1,2,2003,S10_2016,Kwai,Yu
10055,Shipped,2,4,2003,S10_2016,Peter,Ferguson
10056,Shipped,3,7,2003,S10_2016,Daniel,Da Cunha
10057,Shipped,3,8,2003,S10_2016,Julie,Young
10058,Shipped,4,10,2003,S10_2016,Julie,Brown
10059,Shipped,4,10,2003,S10_2016,Juri,Hirano
10060,Shipped,4,11,2003,S10_2016,Martine,Rance
10061,Shipped,4,11,2003,S10_2016,Veysel,Oeztan
10062,Shipped,4,12,2003,S10_2016,Julie,Murphy
10063,Shipped,1,1,2004,S10_2016,Mory,Kentary
10064,Shipped,1,2,2004,S10_2016,Peter,Ferguson
10065,Shipped,2,4,2004,S10_2016,Rosa,Hernandez
10066,Shipped,2,5,2004,S10_2016,William,Brown
10067,Shipped,2,6,2004,S10_2016,Julie,King
10068,Shipped,3,7,2004,S10_2016,Janine,Labrune
10069,Shipped,3,8,2004,S10_2016,Marta,Hernandez
10070,Shipped,3,9,2004,S10_2016,Carine,Schmitt
10071,Shipped,4,10,2004,S10_2016,Steve,Frick
10072,Shipped,4,11,2004,S10_2016,Kyung,Yu
10073,Shipped,4,11,2004,S10_2016,Kwai,Yu
10074,Shipped,4,11,2004,S10_2016,Akiko,Shimamura
10075,Shipped,4,12,2004,S10_2016,Adrian,Huxley
10076,Shipped,1,2,2005,S10_2016,Tony,Calaghan
10077,Shipped,1,3,2005,S10_2016,Violeta,Benitez
10078,Shipped,2,4,2005,S10_2016,Dominique,Perrier
10079,Disputed,2,5,2005,S10_2016,Diego,Freyre
10080,Shipped,1,2,2003,S10_4698,Kwai,Yu
10081,Shipped,2,4,2003,S10_4698,Peter,Ferguson
10082,Shipped,3,7,2003,S10_4698,Daniel,Da Cunha
10083,Shipped,3,8,2003,S10_4698,Julie,Young
10084,Shipped,4,10,2003,S10_4698,Julie,Brown
10085,Shipped,4,10,2003,S10_4698,Juri,Hirano
10086,Shipped,4,11,2003,S10_4698,Martine,Rance
10087,Shipped,4,11,2003,S10_4698,Veysel,Oeztan
10088,Shipped,4,12,2003,S10_4698,Julie,Murphy
10089,Shipped,1,1,2004,S10_4698,Mory,Kentary
10090,Shipped,1,2,2004,S10_4698,Peter,Ferguson
10091,Shipped,2,4,2004,S10_4698,Michael,Frick
10092,Shipped,2,5,2004,S10_4698,William,Brown
10093,Shipped,2,6,2004,S10_4698,Julie,King
10094,Shipped,3,7,2004,S10_4698,Janine,Labrune
10095,Shipped,3,8,2004,S10_4698,Marta,Hernandez
10096,Shipped,3,9,2004,S10_4698,Matti,Karttunen
10097,Shipped,4,10,2004,S10_4698,Steve,Frick
10098,Shipped,4,11,2004,S10_4698,Kyung,Yu
10099,Shipped,4,11,2004,S10_4698,Kwai,Yu
10100,Shipped,4,11,2004,S10_4698,Akiko,Shimamura
10101,Shipped,1,1,2005,S10_4698,Juri,Hirano
10102,Shipped,1,2,2005,S10_4698,Tony,Calaghan
10103,Shipped,1,3,2005,S10_4698,Violeta,Benitez
10104,Shipped,2,4,2005,S10_4698,Elizabeth,Devon
10105,Disputed,2,5,2005,S10_4698,Diego,Freyre
10106,Shipped,1,2,2003,S10_4757,Jytte,Petersen
10107,Shipped,2,4,2003,S10_4757,Georg,Pipps
10108,Shipped,2,6,2003,S10_4757,Ann,Brown
10109,Shipped,3,8,2003,S10_4757,Wing C,Tam
10110,Shipped,4,10,2003,S10_4757,Matti,Karttunen
10111,Cancelled,4,10,2003,S10_4757,Maria,Larsson
10112,Shipped,4,11,2003,S10_4757,Annette,Roulet
10113,Shipped,4,11,2003,S10_4757,Thomas,Hardy
10114,Shipped,4,11,2003,S10_4757,Eduardo,Saavedra
10115,Shipped,1,1,2004,S10_4757,Michael,Chandler
10116,Shipped,1,2,2004,S10_4757,Valarie,Thompson
10117,Cancelled,2,5,2004,S10_4757,Kwai,Yu
10118,Shipped,2,6,2004,S10_4757,Jean,Fresnisre
10119,Shipped,3,7,2004,S10_4757,Catherine,Dewey
10120,Shipped,3,8,2004,S10_4757,Elizabeth,Lincoln
10121,Shipped,3,9,2004,S10_4757,Juri,Yoshido
10122,Shipped,4,10,2004,S10_4757,Francisca,Cervantes
10123,Shipped,4,11,2004,S10_4757,Helen,Bennett
10124,Shipped,4,11,2004,S10_4757,Jonas,Bergulfsen
10125,Shipped,4,11,2004,S10_4757,Maria,Hernandez
10126,Shipped,4,12,2004,S10_4757,Diego,Freyre
10127,Shipped,4,12,2004,S10_4757,Paul,Henriot
10128,Shipped,1,1,2005,S10_4757,Pirkko,Koskitalo
10129,Shipped,1,2,2005,S10_4757,Julie,Brown
10130,Shipped,1,3,2005,S10_4757,Daniel,Da Cunha
10131,Shipped,2,4,2005,S10_4757,Sue,Frick
10132,On Hold,2,5,2005,S10_4757,Juri,Yoshido
10133,Shipped,1,1,2003,S10_4962,Jonas,Bergulfsen
10134,Shipped,2,4,2003,S10_4962,Marie,Bertrand
10135,Shipped,2,5,2003,S10_4962,Mart¡n,Sommer
10136,Shipped,3,7,2003,S10_4962,Juri,Hirano
10137,Shipped,3,9,2003,S10_4962,Eric,Natividad
10138,Resolved,4,10,2003,S10_4962,Roland,Mendel
10139,Shipped,4,11,2003,S10_4962,Ann,Brown
10140,Shipped,4,11,2003,S10_4962,Francisca,Cervantes
10141,Shipped,4,11,2003,S10_4962,Mary,Saveley
10142,Shipped,4,12,2003,S10_4962,Valarie,Franco
10143,Shipped,1,2,2004,S10_4962,Wendy,Victorino
10144,Shipped,1,3,2004,S10_4962,Valarie,Nelson
10145,Shipped,2,5,2004,S10_4962,Leslie,Murphy
10146,Shipped,2,6,2004,S10_4962,Wendy,Victorino
10147,Shipped,3,7,2004,S10_4962,Adrian,Huxley
10148,Shipped,3,8,2004,S10_4962,Kyung,Yu
10149,Shipped,3,9,2004,S10_4962,Maria,Larsson
10150,Shipped,4,10,2004,S10_4962,Marta,Hernandez
10151,Shipped,4,10,2004,S10_4962,Yoshi,Tannamuri
10152,Shipped,4,11,2004,S10_4962,Valarie,Young
10153,On Hold,4,11,2004,S10_4962,Christina,Berglund
10154,Shipped,4,11,2004,S10_4962,Peter,Ferguson
10155,Shipped,4,12,2004,S10_4962,Valarie,Nelson
10156,Shipped,1,1,2005,S10_4962,Anna,O'Hara
10157,Shipped,1,2,2005,S10_4962,Julie,Brown
10158,Shipped,1,3,2005,S10_4962,Anna,O'Hara
10159,Shipped,2,5,2005,S10_4962,Jean,Fresnisre
10160,In Process,2,5,2005,S10_4962,Janine,Labrune
10161,Shipped,1,3,2003,S12_1099,Arnold,Cruz
10162,Shipped,2,5,2003,S12_1099,Laurence,Lebihan
10163,Shipped,3,7,2003,S12_1099,Valarie,Nelson
10164,Shipped,3,9,2003,S12_1099,Allen,Nelson
10165,Shipped,4,10,2003,S12_1099,Julie,Brown
10166,Shipped,4,11,2003,S12_1099,Anna,O'Hara
10167,Shipped,4,11,2003,S12_1099,Veysel,Oeztan
10168,Shipped,4,11,2003,S12_1099,Henriette,Pfalzheim
10169,Shipped,4,12,2003,S12_1099,Diego,Freyre
10170,Shipped,1,1,2004,S12_1099,Dominique,Perrier
10171,Shipped,1,2,2004,S12_1099,Michael,Holz
10172,Shipped,2,4,2004,S12_1099,Jytte,Petersen
10173,Cancelled,2,6,2004,S12_1099,Elizabeth,Devon
10174,Shipped,3,7,2004,S12_1099,Maurizio,Moroni
10175,Shipped,3,8,2004,S12_1099,Miguel,Barajas
10176,Shipped,3,8,2004,S12_1099,Michael,Holz
10177,Shipped,4,10,2003,S12_1099,Roland,Keitel
10178,Shipped,4,10,2004,S12_1099,Henriette,Pfalzheim
10179,Shipped,4,11,2004,S12_1099,Christina,Berglund
10180,Shipped,4,11,2004,S12_1099,Kwai,Yu
10181,Shipped,4,11,2004,S12_1099,Georg,Pipps
10182,Shipped,1,1,2005,S12_1099,Kalle,Suominen
10183,Shipped,1,2,2005,S12_1099,Janine,Labrune
10184,Shipped,1,3,2005,S12_1099,Maria,Larsson
10185,Shipped,2,5,2005,S12_1099,Georg,Pipps
10186,Shipped,1,2,2003,S12_1108,Jytte,Petersen
10187,Shipped,2,4,2003,S12_1108,Eric,Natividad
10188,Shipped,2,6,2003,S12_1108,Jeff,Young
10189,Shipped,3,8,2003,S12_1108,Valarie,Nelson
10190,Shipped,3,9,2003,S12_1108,Diego,Freyre
10191,Shipped,4,10,2003,S12_1108,Eric,Natividad
10192,Shipped,4,11,2003,S12_1108,Maurizio,Moroni
10193,Shipped,4,11,2003,S12_1108,Wing C,Tam
10194,Shipped,4,11,2003,S12_1108,Leslie,Murphy
10195,Shipped,1,1,2004,S12_1108,Mary,Saveley
10196,Shipped,1,2,2004,S12_1108,Dean,Cassidy
10197,Shipped,1,3,2004,S12_1108,Jesus,Fernandez
10198,Shipped,2,5,2004,S12_1108,Kalle,Suominen
10199,Shipped,3,7,2004,S12_1108,Kyung,Yu
10200,Shipped,3,8,2004,S12_1108,Valarie,Nelson
10201,Shipped,3,9,2004,S12_1108,Paolo,Accorti
10202,Shipped,4,10,2004,S12_1108,Victoria,Ashworth
10203,Shipped,4,10,2004,S12_1108,Palle,Ibsen
